id,title,postingDate,salary,hours,closingDate,location,state,city,company,jobType,category,jobReference,additionalSalaryInf
193,Minister of Religion,19 October 2023,None,Full time,18 November 2023,Dartford,South East Englasd,Kent,God City London,Permanent,Other/General Jobs,,None
194,Illegal Migration Operations Command – Illegal Migration Intake Unit - HM Inspector,19 October 2023,"£41,600 to £44,512 per year",Full time,15 November 2023,Ramsgate,South East Englasd,Kent,Government Recruitment Service,Permanent,Other/General Jobs,319999/1,Plus allowance in the current range of 27.54% to 37.55% (subject to annual review)
195,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Maidstone, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
196,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Gravesend, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
197,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Folkestone, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
198,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Chatham, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
199,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Broadstairs, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
200,Mystery Shopper,19 October 2023,Not specified,Part time,18 November 2023,"Ashford, Kent",South East Englasd,Kent,Tern Consultancy,Permanent,Other/General Jobs,,Competitive
201,Activities Assistant - Care Home,19 October 2023,None,Part time,18 November 2023,"Maidstone, ME17 3LW",South East Englasd,Kent,Barchester Health Care,Permanent,Other/General Jobs,Barchester_167729,None
202,Activities Assistant - Bank - Care Home,19 October 2023,None,Part time,18 November 2023,"Wouldham, Rochester, ME1 3TR",South East Englasd,Kent,Barchester Health Care,Temporary,Other/General Jobs,Barchester_167531,None
203,Branch Manager,19 October 2023,"£31,000 to £33,000 per year",Full time,17 November 2023,"Erith, Southern, DA8 2BD",South East Englasd,Kent,Purosearch,Permanent,Other/General Jobs,50379851,None
204,Postperson with Driving - Tonbridge Delivery Office (TN9 1AA),18 October 2023,None,Full time,17 November 2023,"Tonbridge, TN9 1AA",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,995669801,None
205,Marketing Manager,18 October 2023,None,Full time,17 November 2023,Rainham,South East Englasd,Kent,Restore Plc,Permanent,Other/General Jobs,98989,None
206,Workshop Controller,18 October 2023,"£37,000 per year",Full time,17 November 2023,TN24 0HT,South East Englasd,Kent,autoskills-uk,Permanent,Other/General Jobs,JO0000045178-17444,None
207,Consultant Urological Surgeon with interest in Stones & Core Urology,18 October 2023,Not specified,Full time,17 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,East Kent Hospitals NHS Trust,Permanent,Other/General Jobs,5752653/344-1742CONSAKRP-H,"£93,666 - £126,281 per annum + £20,000 recruitment premium"
208,Tesco Colleague - 2am Starts,18 October 2023,Not specified,Part time,17 November 2023,"Aylesford, Kent, ME20 7PP",South East Englasd,Kent,Tesco,Permanent,Other/General Jobs,tesco/TP/11232617/851127,£11.02 with a premium payment of £2.30 worked for any hour between midnight and 6am.
209,Team Member - Starbucks,18 October 2023,Not specified,Full time,17 November 2023,"Canterbury West Station, CT2 8AN",South East Englasd,Kent,SSP Food Travel Experts,Permanent,Other/General Jobs,3471-41991774,£10.42-10.42 per annum
210,Front of House Support Team,18 October 2023,Not specified,Part time,17 November 2023,"Ashford, TN24 0SD",South East Englasd,Kent,PizzaExpress Restaurants Ltd,Permanent,Other/General Jobs,pizzaexpress-69830,£7.49 - £11.60
211,Mystery Shopper (ID Testing),18 October 2023,Not specified,Part time,17 November 2023,"Longfield, Kent",South East Englasd,Kent,Serve Legal,Temporary,Other/General Jobs,,Pay per audit
212,Mystery Shopper (ID Testing),18 October 2023,Not specified,Part time,17 November 2023,"Dartford, Kent",South East Englasd,Kent,Serve Legal,Temporary,Other/General Jobs,,Pay per audit
213,Mystery Shopper (ID Testing),18 October 2023,Not specified,Part time,17 November 2023,"Birchington, Kent",South East Englasd,Kent,Serve Legal,Temporary,Other/General Jobs,,Pay per audit
214,Mystery Shopper (ID Testing),18 October 2023,Not specified,Part time,17 November 2023,"Herne Bay, Kent",South East Englasd,Kent,Serve Legal,Temporary,Other/General Jobs,,Pay per audit
215,Mystery Shopper (ID Testing),18 October 2023,Not specified,Part time,17 November 2023,"Whitstable, Kent",South East Englasd,Kent,Serve Legal,Temporary,Other/General Jobs,,Pay per audit
216,Shop Supervisor,18 October 2023,Not specified,Full time,13 November 2023,"Sheerness, Kent, ME12 1NL",South East Englasd,Kent,Greggs PLC,Permanent,Other/General Jobs,greggs/TP/3541/21655,£11.41 per hour
217,Postperson with Driving - Maidstone Delivery Office (ME15 9EE),17 October 2023,None,Full time,16 November 2023,"Maidstone, ME15 9EE",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,995252201,None
218,Accommodation Cleaners,17 October 2023,£10.97 per hour,Full time,16 November 2023,"Canterbury, Kent, CT1 3AN",South East Englasd,Kent,The Recruitment Co,Permanent,Other/General Jobs,BBBH20911_1697533575,None
219,AMD Administrator | East Kent Hospitals University NHS Foundation Trust,17 October 2023,Not specified,Full time,16 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,East Kent Hospitals NHS Trust,Permanent,Other/General Jobs,5703695/344-3695SAC,"£22,816 - £24,336 per annum"
220,Cashback Customer Service Advisor,17 October 2023,Not specified,Full time,16 November 2023,"TUNBRIDGE WELLS, KENT, TN2 5FE",South East Englasd,Kent,AXA UK,Permanent,Other/General Jobs,2300080G,"£22,000"
221,HLTA (Higher Level Teaching Assistant),17 October 2023,£85 to £110 per day,Full time,15 November 2023,"Chatham, Southern, ME4",South East Englasd,Kent,Rikama Education,Contract,Other/General Jobs,50337944,None
222,Administrator x 4 – Vetting Unit,17 October 2023,£16.68 per hour,Full time,15 November 2023,"Sidcup, Kent, DA15 7ES",South East Englasd,Kent,Triumph Consultants Ltd,Temporary,Other/General Jobs,MPX TCLZ 0007 BE98 / 1,per hour PAYE
223,Part Time - Freelance Social Research Interviewer,16 October 2023,None,Part time,15 November 2023,"Tonbridge, Kent",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
224,Full Time - Freelance Social Research Interviewer,16 October 2023,None,Full time,15 November 2023,"Tonbridge, Kent",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
225,Full Time - Freelance Social Research Interviewer,16 October 2023,None,Full time,15 November 2023,"Medway City Estate, Rochester",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
226,Part Time - Freelance Social Research Interviewer,16 October 2023,None,Part time,15 November 2023,"Medway City Estate, Rochester",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
227,Part Time - Freelance Social Research Interviewer,16 October 2023,None,Part time,15 November 2023,"Dartford, Kent",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
228,Full Time - Freelance Social Research Interviewer,16 October 2023,None,Full time,15 November 2023,"Dartford, Kent",South East Englasd,Kent,NatCen Social Research,Permanent,Other/General Jobs,,None
229,Welfare Tanker Driver,16 October 2023,None,Full time,13 November 2023,"Kent, DA1 3QY",South East Englasd,Kent,FM Conway,Permanent,Other/General Jobs,ORG1531-MH908043DarWTD,None
230,Merchandising across Dartford DA Postcode area,16 October 2023,£10.42 per hour,Part time,15 November 2023,"Dartford, Kent, DA1 3EN",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,d68646c1-9820-4e6b-9bcd-4360e6e748dd,None
231,Merchandising across Medway ME Postcode area,16 October 2023,£10.42 per hour,Part time,15 November 2023,"Rochester, Kent, ME2 2DE",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,1af08d9f-d61e-400a-b6e4-52e267490e30,None
232,Merchandising across Medway ME Postcode area,16 October 2023,£10.42 per hour,Part time,15 November 2023,"Gillingham, Kent, ME7 1TZ",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,f45aaa3b-b541-4afc-8e76-e3ecf1e2472c,None
233,Merchandising across Canterbury CT Postcode area,16 October 2023,£10.42 per hour,Part time,15 November 2023,"Whitstable, Kent, CT5 3EE",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,df63e724-c597-44aa-a1b4-727a934274f2,None
234,Merchandising across Canterbury CT Postcode area,16 October 2023,£10.42 per hour,Part time,15 November 2023,"Canterbury, Kent, CT1 2TA",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,4a8d597a-4db8-434c-b1ab-420100059f58,None
235,Football Coach - Bexleyheath,15 October 2023,None,Part time,14 November 2023,"Bexleyheath, Kent",South East Englasd,Kent,NLP Sports,Contract,Other/General Jobs,,None
236,Football Coach - Kent,15 October 2023,None,Part time,14 November 2023,"Kent, South East England",South East Englasd,Kent,NLP Sports,Contract,Other/General Jobs,,None
237,Football Coach - Bexleyheath,15 October 2023,None,Part time,14 November 2023,"Bexleyheath, Kent",South East Englasd,Kent,NLP Sports,Contract,Other/General Jobs,,None
238,Football Coach - Bexleyheath,15 October 2023,None,Part time,14 November 2023,"Bexleyheath, Kent",South East Englasd,Kent,NLP Sports,Contract,Other/General Jobs,,None
239,Postperson with Driving - Sittingbourne Delivery Office (ME10 4AA),15 October 2023,None,Full time,13 November 2023,"Sittingbourne, ME10 4AA",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,960320001,None
240,Postperson with Driving - Sittingbourne Delivery Office (ME10 4AA) (296397),14 October 2023,None,Full time,13 November 2023,"Sittingbourne, ME10 4AA",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,969681301,None
241,Brand Ambassador,14 October 2023,£11.69 per hour,Part time,13 November 2023,"Folkestone, Kent, CT19 4DP",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,b643f17b-d754-40d1-a1dd-f4c1e9770f09,None
242,Postperson with Driving - Medway Valley Delivery Office (ME6 5GP),13 October 2023,None,Full time,12 November 2023,"Medway Valley, ME6 5GP",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,993977601,None
243,Workshop Foreman,13 October 2023,"£30,000 to £40,000 per year",Full time,12 November 2023,br8,South East Englasd,Kent,Path Recruitment Ltd,Permanent,Other/General Jobs,42296-18328,None
244,Tigrinya Interpreter,13 October 2023,£15.00 to £30.00 per hour,Part time,12 November 2023,"Kent, South East England",South East Englasd,Kent,Alpha Language Services,Contract,Other/General Jobs,,None
245,Bulgarian Interpreter,13 October 2023,£15.00 to £30.00 per hour,Part time,12 November 2023,"Kent, South East England",South East Englasd,Kent,Alpha Language Services,Contract,Other/General Jobs,,None
246,Caretaker,13 October 2023,£14 to £15 per hour,Full time,12 November 2023,"Bexley, Kent",South East Englasd,Kent,BumbleBee Education Ltd,Permanent,Other/General Jobs,Caretaker,None
247,Drainage Engineer,13 October 2023,"£34,000 to £40,000 per year",Full time,12 November 2023,"Chatham, Kent, ME6 5AA",South East Englasd,Kent,Vector Recruitment Solutions,Permanent,Other/General Jobs,BBBH934_1697198838,plus overtime rates
248,Face-to-Face Arabic Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
249,Face-to-Face Singhalese Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
250,Face-to-Face Tamil Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
251,Face-to-Face Nepalese Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
252,Face-to-Face Cantonese Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
253,Face-to-Face Bengali Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
254,Face-to-Face Punjabi Interpreter,13 October 2023,£15.00 to £17.00 per hour,Part time,12 November 2023,"Dartford, Kent",South East Englasd,Kent,Word360,Temporary,Other/General Jobs,,None
255,General Operative,13 October 2023,Not specified,Full time,12 November 2023,"Rainham, RM13 9EB",South East Englasd,Kent,Scott Timber Ltd,Permanent,Other/General Jobs,637,£10.75 per hour
256,Sonographer,12 October 2023,£53.96 per hour,Full time,11 November 2023,ME1,South East Englasd,Kent,Sanctuary Personnel,Temporary,Other/General Jobs,199490-430332,None
257,Postperson with Driving - Maidstone Delivery Office (ME15 9EE),12 October 2023,None,Full time,11 November 2023,"Maidstone, ME15 9EE",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,993430501,None
258,Postperson with Driving - Thirsk Delivery Office (CT9 1NQ),12 October 2023,None,Full time,11 November 2023,"Margate, CT9 1NQ",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,993536001,None
259,Postperson with Driving - Sevenoaks Delivery Office (TN13 1AA),12 October 2023,None,Full time,11 November 2023,"Sevenoaks, TN13 1AA",South East Englasd,Kent,Royal Mail,Permanent,Other/General Jobs,981449001,None
260,Head of Healthcare | Central and North West London NHS Foundation Trust,12 October 2023,Not specified,Full time,11 November 2023,"Rochester, ME1 3YB",South East Englasd,Kent,CNWL NHS Foundation Trust,Permanent,Other/General Jobs,5737452/333-D-HJ-1457-A,"£58,972 - £68,525 per annum"
261,Care Assistant,12 October 2023,£10.6 per hour,Part time,10 November 2023,"Chatham, ME5 7JZ",South East Englasd,Kent,Agincare Group,Permanent,Other/General Jobs,agincare/TP/267147/6200,Competitive
262,Nursery Manager,12 October 2023,Not specified,Full time,10 November 2023,"Gillingham, ME7 5AX",South East Englasd,Kent,Busy bees childcare,Permanent,Other/General Jobs,9248,Competitive
263,Upholsterer,12 October 2023,£10.42 to £12.5 per hour,Full time,11 November 2023,"Dover, Kent, CT170UF",South East Englasd,Kent,HR GO Recruitment,Temporary,Other/General Jobs,261233/004_1697101032,None
264,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Worth, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
265,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Wootton, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
266,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Woodnesborough, Sandwich",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
267,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Wingham, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
268,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Whitfield, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
269,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Westmarsh, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
270,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Westcliffe, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
271,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"West Studdal, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
272,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"West Langdon, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
273,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Warehorne, Ashford",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
274,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Walmer, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
275,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Waldershare, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
276,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Tilmanstone, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
277,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Temple Ewell, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
278,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Swingate, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
279,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Staple, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
280,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"St. Margarets-At-Cliffe, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
281,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Snowdown, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
282,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Sholden, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
283,Private hire taxi driver,12 October 2023,None,Full time,11 November 2023,"Shepherdswell, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
284,Merchandising across Tunbridge Wells - TN Postcode area,12 October 2023,£10.42 per hour,Part time,11 November 2023,"Tunbridge Wells, Kent, TN2 5QL",South East Englasd,Kent,redwigwam,Temporary,Other/General Jobs,da59e0da-1d89-481f-a769-48728bc616b6,None
285,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Temple Ewell, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
286,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Swingate, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
287,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Sutton, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
288,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Staple, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
289,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"St. Margarets-At-Cliffe, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
290,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Snowdown, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
291,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Sholden, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
292,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Shepherdswell, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
293,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Sandwich, Kent",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
294,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"River, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
295,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ripple, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
296,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ringwould, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
297,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ringwould, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
298,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Richborough, Sandwich",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
299,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Pineham, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
300,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Northbourne, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
301,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Nonington, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
302,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Martin Mill, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
303,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Martin, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
304,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Marshborough, Sandwich",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
305,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Lydden, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
306,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Little Mongeham, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
307,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"East Langdon, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
308,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Knowlton, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
309,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Kearsney, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
310,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Hougham, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
311,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ham, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
312,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Hacklinge, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
313,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Guston, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
314,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Great Mongeham, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
315,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Goodnestone, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
316,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Frogham, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
317,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Elvington, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
318,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"East Langdon, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
319,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Drellingore, Folkestone",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
320,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Denton, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
321,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Coldred, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
322,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Chillenden, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
323,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Capel-Le-Ferne, Folkestone",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
324,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Buckland, Sittingbourne",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
325,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Betteshanger, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
326,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Drellingore, Folkestone",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
327,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Denton, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
328,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Coldred, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
329,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Chillenden, Canterbury",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
330,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Capel-Le-Ferne, Folkestone",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
331,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Betteshanger, Deal",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
332,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Barnsole, Staple",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
333,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Barfrestone, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
334,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ashley, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
335,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Ash, Sevenoaks",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
336,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Alkham, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
337,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Lydden, Dover",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
338,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Wrotham Heath, Sevenoaks",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
339,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Wrotham, Sevenoaks",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
340,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"West Peckham, Maidstone",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
341,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Walderslade, Chatham",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
342,Private hire taxi driver,11 October 2023,None,Full time,10 November 2023,"Trottiscliffe, West Malling",South East Englasd,Kent,Prestige Transportation Ltd,Permanent,Other/General Jobs,,None
